wavelength_nm,mono,green,blue,red
588.0000,0.3775,0.3680,0.0108,0.3669
589.0000,0.3841,0.3602,0.0107,0.3755
590.0000,0.3900,0.3518,0.0107,0.3841
591.0000,0.3962,0.3446,0.0107,0.3925
592.0000,0.4028,0.3392,0.0107,0.4001
593.0000,0.4092,0.3355,0.0105,0.4063
594.0000,0.4158,0.3314,0.0103,0.4121
595.0000,0.4223,0.3266,0.0100,0.4177
596.0000,0.4277,0.3210,0.0097,0.4234
597.0000,0.4324,0.3153,0.0094,0.4286
598.0000,0.4366,0.3096,0.0090,0.4333
599.0000,0.4406,0.3041,0.0086,0.4373
600.0000,0.4445,0.2986,0.0081,0.4409
601.0000,0.4478,0.2930,0.0078,0.4445
602.0000,0.4506,0.2873,0.0075,0.4477
603.0000,0.4531,0.2815,0.0072,0.4502
604.0000,0.4551,0.2758,0.0068,0.4523
605.0000,0.4566,0.2701,0.0066,0.4542
606.0000,0.4577,0.2642,0.0064,0.4557
607.0000,0.4587,0.2585,0.0064,0.4567
608.0000,0.4590,0.2529,0.0064,0.4572
609.0000,0.4587,0.2472,0.0064,0.4573
610.0000,0.4584,0.2416,0.0064,0.4571
611.0000,0.4580,0.2363,0.0065,0.4567
612.0000,0.4574,0.2310,0.0066,0.4560
613.0000,0.4563,0.2257,0.0069,0.4550
614.0000,0.4551,0.2204,0.0072,0.4537
615.0000,0.4539,0.2152,0.0075,0.4522
616.0000,0.4523,0.2100,0.0078,0.4504
617.0000,0.4506,0.2047,0.0082,0.4485
618.0000,0.4488,0.1993,0.0087,0.4464
619.0000,0.4465,0.1939,0.0091,0.4440
620.0000,0.4438,0.1886,0.0094,0.4415
621.0000,0.4410,0.1831,0.0097,0.4389
622.0000,0.4382,0.1776,0.0101,0.4362
623.0000,0.4353,0.1722,0.0105,0.4335
624.0000,0.4322,0.1670,0.0109,0.4307
625.0000,0.4291,0.1619,0.0111,0.4277
626.0000,0.4262,0.1565,0.0114,0.4246
627.0000,0.4233,0.1514,0.0117,0.4214
628.0000,0.4204,0.1463,0.0121,0.4182
629.0000,0.4179,0.1414,0.0125,0.4149
630.0000,0.4154,0.1366,0.0130,0.4115
631.0000,0.4127,0.1319,0.0134,0.4082
632.0000,0.4101,0.1273,0.0138,0.4049
633.0000,0.4095,0.1231,0.0142,0.4016
634.0000,0.4091,0.1189,0.0145,0.3983
635.0000,0.4077,0.1148,0.0147,0.3949
636.0000,0.4058,0.1108,0.0149,0.3916
637.0000,0.4050,0.1069,0.0151,0.3883
638.0000,0.4041,0.1032,0.0154,0.3850
639.0000,0.4004,0.0995,0.0157,0.3817
640.0000,0.3969,0.0958,0.0160,0.3786
641.0000,0.3935,0.0924,0.0163,0.3755
642.0000,0.3888,0.0891,0.0166,0.3725
643.0000,0.3840,0.0860,0.0171,0.3697
644.0000,0.3791,0.0829,0.0174,0.3669
645.0000,0.3755,0.0800,0.0175,0.3643
646.0000,0.3748,0.0773,0.0177,0.3617
647.0000,0.3719,0.0748,0.0178,0.3592
648.0000,0.3691,0.0725,0.0180,0.3567
649.0000,0.3686,0.0706,0.0183,0.3545
